Count_Watershed,Count_baselineObject,ImageNumber,Overlap_Ffactor_baselinePrediction,Overlap_Ffactor_predictionImage,Overlap_Precision_baselinePrediction,Overlap_Precision_predictionImage,Overlap_Recall_baselinePrediction,Overlap_Recall_predictionImage
307,291,1,0.924179455,0.955357196,0.868996451,0.953820962,0.986846148,0.956898386
312,290,2,0.918411781,0.955561141,0.86233961,0.95456244,0.982283073,0.956561933
316,289,3,0.924624484,0.952764051,0.871843065,0.949870932,0.984208513,0.955674848
297,290,4,0.932116199,0.960167839,0.888975587,0.963481747,0.979657463,0.956876649
295,285,5,0.924978296,0.954621414,0.871936281,0.954015148,0.984891663,0.95522845
308,275,6,0.92096701,0.952364269,0.864587932,0.950643477,0.985211877,0.954091303
287,275,7,0.92640378,0.954343929,0.873038639,0.95566365,0.986717635,0.953027847
293,277,8,0.917466131,0.95377252,0.87115129,0.948152911,0.968982161,0.95945914
305,287,9,0.91925309,0.954262064,0.866041132,0.954960866,0.979432101,0.953564283
295,285,10,0.923132073,0.951728008,0.870758987,0.947987984,0.982208452,0.955497659
305,287,11,0.916335404,0.953077655,0.860045286,0.948442947,0.980509956,0.957757882
302,281,12,0.916903647,0.953131437,0.856822407,0.951271211,0.986046187,0.954998953
300,291,13,0.922852019,0.95181216,0.866707498,0.944316076,0.986774362,0.959428206
310,276,14,0.912458912,0.953570509,0.850277155,0.954286107,0.984453113,0.952855983
307,285,15,0.921002488,0.953166676,0.864365394,0.952671668,0.985582255,0.9536622
297,283,16,0.925301522,0.953240551,0.879267173,0.951441631,0.976422472,0.955046286
317,298,17,0.927838973,0.95655483,0.876812785,0.955854901,0.985171081,0.957255784
285,277,18,0.925082925,0.954487115,0.873320962,0.951061397,0.983367366,0.957937601
302,290,19,0.908085657,0.949378124,0.853278027,0.949753477,0.970417364,0.949003067
296,291,20,0.911417448,0.954245887,0.848082348,0.95395538,0.984975803,0.954536572
